,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,mpg²,acceleration²
0,18.0,8,307.0,130.0,3504,12.0,70,usa,chevrolet chevelle malibu,324.0,144.0
1,15.0,8,350.0,165.0,3693,11.5,70,usa,buick skylark 320,225.0,132.25
2,18.0,8,318.0,150.0,3436,11.0,70,usa,plymouth satellite,324.0,121.0
3,16.0,8,304.0,150.0,3433,12.0,70,usa,amc rebel sst,256.0,144.0
4,17.0,8,302.0,140.0,3449,10.5,70,usa,ford torino,289.0,110.25
5,15.0,8,429.0,198.0,4341,10.0,70,usa,ford galaxie 500,225.0,100.0
6,14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet impala,196.0,81.0
7,14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth fury iii,196.0,72.25
8,14.0,8,455.0,225.0,4425,10.0,70,usa,pontiac catalina,196.0,100.0
9,15.0,8,390.0,190.0,3850,8.5,70,usa,amc ambassador dpl,225.0,72.25
10,15.0,8,383.0,170.0,3563,10.0,70,usa,dodge challenger se,225.0,100.0
11,14.0,8,340.0,160.0,3609,8.0,70,usa,plymouth 'cuda 340,196.0,64.0
12,15.0,8,400.0,150.0,3761,9.5,70,usa,chevrolet monte carlo,225.0,90.25
13,14.0,8,455.0,225.0,3086,10.0,70,usa,buick estate wagon (sw),196.0,100.0
14,24.0,4,113.0,95.0,2372,15.0,70,japan,toyota corona mark ii,576.0,225.0
15,22.0,6,198.0,95.0,2833,15.5,70,usa,plymouth duster,484.0,240.25
16,18.0,6,199.0,97.0,2774,15.5,70,usa,amc hornet,324.0,240.25
17,21.0,6,200.0,85.0,2587,16.0,70,usa,ford maverick,441.0,256.0
18,27.0,4,97.0,88.0,2130,14.5,70,japan,datsun pl510,729.0,210.25
19,26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan,676.0,420.25
20,25.0,4,110.0,87.0,2672,17.5,70,europe,peugeot 504,625.0,306.25
21,24.0,4,107.0,90.0,2430,14.5,70,europe,audi 100 ls,576.0,210.25
22,25.0,4,104.0,95.0,2375,17.5,70,europe,saab 99e,625.0,306.25
23,26.0,4,121.0,113.0,2234,12.5,70,europe,bmw 2002,676.0,156.25
24,21.0,6,199.0,90.0,2648,15.0,70,usa,amc gremlin,441.0,225.0
25,10.0,8,360.0,215.0,4615,14.0,70,usa,ford f250,100.0,196.0
26,10.0,8,307.0,200.0,4376,15.0,70,usa,chevy c20,100.0,225.0
27,11.0,8,318.0,210.0,4382,13.5,70,usa,dodge d200,121.0,182.25
28,9.0,8,304.0,193.0,4732,18.5,70,usa,hi 1200d,81.0,342.25
29,27.0,4,97.0,88.0,2130,14.5,71,japan,datsun pl510,729.0,210.25
30,28.0,4,140.0,90.0,2264,15.5,71,usa,chevrolet vega 2300,784.0,240.25
31,25.0,4,113.0,95.0,2228,14.0,71,japan,toyota corona,625.0,196.0
33,19.0,6,232.0,100.0,2634,13.0,71,usa,amc gremlin,361.0,169.0
34,16.0,6,225.0,105.0,3439,15.5,71,usa,plymouth satellite custom,256.0,240.25
35,17.0,6,250.0,100.0,3329,15.5,71,usa,chevrolet chevelle malibu,289.0,240.25
36,19.0,6,250.0,88.0,3302,15.5,71,usa,ford torino 500,361.0,240.25
37,18.0,6,232.0,100.0,3288,15.5,71,usa,amc matador,324.0,240.25
38,14.0,8,350.0,165.0,4209,12.0,71,usa,chevrolet impala,196.0,144.0
39,14.0,8,400.0,175.0,4464,11.5,71,usa,pontiac catalina brougham,196.0,132.25
40,14.0,8,351.0,153.0,4154,13.5,71,usa,ford galaxie 500,196.0,182.25
41,14.0,8,318.0,150.0,4096,13.0,71,usa,plymouth fury iii,196.0,169.0
42,12.0,8,383.0,180.0,4955,11.5,71,usa,dodge monaco (sw),144.0,132.25
43,13.0,8,400.0,170.0,4746,12.0,71,usa,ford country squire (sw),169.0,144.0
44,13.0,8,400.0,175.0,5140,12.0,71,usa,pontiac safari (sw),169.0,144.0
45,18.0,6,258.0,110.0,2962,13.5,71,usa,amc hornet sportabout (sw),324.0,182.25
